question;class
Как поступить в Политех на заочку, если закончил 9 классов, и пока что нет диплома спо? ;ENTER
Здравствуйте, увидела в разделе на сайте ПНИПУ Какую профессию выбрать профессию инженер-экономист в области инноваций. В этом же разделе было сказано, что для получения данной профессии необходимо учиться на Гуманитарном факультете, профиль-экономика инноваций. Но в общих таблицах, такого направления нет. Скажите, пожалуйста, есть ли данное направление, если нет - то можно ли получить эту профессию на другом факультете ПНИПУ? ;ORG
Добрый день, подскажите школу закончил в 1999 году, ЕГЭ соответственно не сдавал, каким образом могу поступить на Нефтегазовое дело? Являюсь ветераном боевых действий, будет ли данный статус при поступлении каким-то зачетом к поступлению? ;ENTER
Можно ли ещё поступить на заочное отделение? ;ENTER
Здравствуйте!Существуют ли в вашем ВУЗе военные кафедры?Если да,то какие и какой проходной бал был в 2018 г? ;ORG
Подскажите, возможно ли взять академический отпуск в связи с утратой близкого родственника? ;ORG
Добрый вечер! Подскажите пожалуйста, когда планируется день открытых дверей , для школьников? ;ORG
Здравствуйте. ИРнтересует данное направление. 15.04.02 Технологические машины и оборудование. Машины, аппараты химических производств и нефтегазопереработки.  Вопрос в следующем, даже несколько вопросов.   1. Я закончил ПГСХА в 2015году ( никак не связанное с направлением: Технологические машины и оборудование), могу ли я поступить в магистратуру в 2019 году, когда зачисления?  2. Предусмотрена ли производственная практика в магистратуре (и как её искать?)  3. Где получить информацию (вопросы) на междисциплинарный экзамен?              Заранее спасибо за ответ (20.10.2018) ;ORG
Скажите пожалуйста, будет ли ещё день открытых дверей в ПНИПУ, кроме 25 ноября? Например, весной? К сожалению, 25 ноября я совсем не смогу прийти, а для меня очень важно знакомство с вузом! ;ORG
Добрый день! У вас когда будет день открытых дверей? ;ORG
Добрый вечер, скажите,пожалуйста, минимальный проходной балл по математике профилю для того, чтобы поступить на управление персоналом заочно? ;RANG
Добрый вечер, можно ли  учиться в одном факультете по 2 специальностям параллельно?(одновременно) ;ORG
Доброго времени суток, можно ли поступить к вам после 9 класса? ;ENTER
Когда день открытых дверей? ;ORG
Есть ли какие-нибудь олимпиады ВУЗА? ;ORG
Как я могу узнать количество бюджетных мест? Просто ориентироваться очень сложно, информации много. ;ENTER
Есть ли военная кафедра, чтобы не идти на службу в армию? ;ORG
Добрый вечер, можно ли после колледжа поступить на бюджет сдав внутренний экзамен на Прикладную Геодезию?  Ещё меня мучает такой вопрос, правда , что девушек могут не брать на этот факультет? ;ENTER
Здравствуйте!  Подскажите, когда будут проходить дни открытых дверей всех факультетов? ;ORG
Будут ли бюджетные места в 2019 году на специальность реклама и связи с общественностью и лингвистика и какой будет проходной балл? ;RANG
Здравствуйте!  Подскажите, пожалуйста, есть ли в вашем Университете программы заочного обучения по специальности Стандартизация, Метрология или что-нибудь смежное? Работаю слесарем КИПиА в службе метрологии, для развития необходимо наличие высшего образования.  Есть есть, сориентируйте, пожалуйста, каковы условия и сроки поступления?  Спасибо ;ORG
В перечне поступивших в 2018 году на направлениях Информационные системы и технологии и Программная инженерия значатся такие вступительные экзамены, как физика, русский язык и математика, но на страницах http://pstu.ru/enrollee/speciality/faculties/etf/ и http://pstu.ru/enrollee/speciality/faculties/fpmm/ указаны ИНФОРМАТИКА, математика и русский язык, а в добавок и в документе http://pstu.ru/files/2/file/adm/abiturientu/priem2019/VO_Pravila_priema_2019_s_prilozheniami.pdf значатся именно эти предметы. Это опечатка или в 2019 году на эти направления будет набор по информатике, русскому языку и математике? ;ENTER
для поступления на заочную форму обучения нужно сдавать экзамены? ;ENTER
Добрый день. Дочь поступает в вуз в следующем году. Возможна ли подача документов в заочной форме (по обычной или электронной почте)? ;DOC
Достаточно результатов ЕГЭ для поступления на ГумФак? ;DOC
Здравствуйте.  Подскажите пожалуйста , можно ли поступить к вам  после дистанционного обучение ( спо ? ;ENTER
