question;class
Здравствуйте, мед.справку нужно нести только вместе с оригиналами остальных документов? Если я пока что принесу вам копию аттестата, то справка не нужна?;DOC
сколько дней рассматривают заявление в приемной комиссии в электронной форме?;DOC
Какие абитуриенты в первую очередь проходят на бюджет:те,у кого балл выше или кто первым подал оригинал?То есть я попадаю на бюджет по балам и приношу копию аттестата,но оригиналов аттестатов принесено больше чем бюджетных мест.Список поступивших составляется из тех,кто принёс оригинал и уже потом их баллы сравнивают или балл имеет решающее значение принёс ты оригинал или нет?;RANG
я подавала документы в электронном виде но до сих пор нет ответа почему?;DOC
Какие документы нужно отправить по почте?;DOC
Подскажите пожалуйста, я послала документы по почте на факультет дизайна ещё неделю назад, но в списках меня нет.Что мне делать?;DOC
Подскажите, обязательно ли заполнять анкету на сайте или можно все сделать в приемной комиссии?;DOC
Здравствуйте, подскажите, пожалуйста, у вас есть пример заявления, которое необходимо подать?;DOC
Здравствуйте. У меня на сайте в списках, подавших заявлений на поступлении, в таблице указано под графой ТИП- ВИ, что это значит? Я поступаю по результатам ЕГЭ, моя заявка на поступление пришла сегодня.;RANG
Здравствуйте! При формировании списка рекомендованных к зачислению учитывается наличие оригинала документа об образовании или достаточно копии? Спасибо.;RANG
Здравствуйте. Можно узнать подробнее о согласии на зачисление? Оно подписывается сразу с подачей оригинала аттестата или его нужно отдельно подписывать третьего августа?;DOC
Здравствуйте, подскажите пожалуйста, возможно ли и законно ли поступление на бюджет в вуз, в то время являясь студенткой 3 или 4 курса университета, учась на платном?;ORG
Здравствуйте. заинтересовались вашим ВУЗом. Список предоставил военный комиссариат. Ответьте пожалуйста: если я поступаю в ВУЗ ваш ну к примеру Наноэллетроника, далее изъявлю желание учиться на военной кафедре, после успешного окончания  учебы я получаю  две специальности (2 диплома)? Иногородним предоставляется общежитие?  Интересуют еще языки (английский, китайский?);ORG
Объясните, пожалуйста, принципы формирования зеленого поля.Правильно ли я понимаю,что туда войдут абитуриенты только с 1-м приоритетом и оригиналом аттестата,встав по убыванию баллов?А после них пойдут абитуриенты со 2-м приоритетом?;RANG
Здравствуйте!Будем подавать в МИЭТ оригинал,не можем разобраться какработают приоритеты.У сына 205 баллов по ЕГЭ.Хотим поставить 1-программная инженерия,2-информатика и вычислительная техника и 3-наноэлектроника.Каковы шансы в первой волне,что он пройдет хотя бы на нано?Не пройдя по первым двум приоритетам,встанет ли он в зеленом поленаноэлектроники именно по баллам или же после всех у кого по нано 1 и2 приоритет и потеряется в списках и вообще не поступит?Или же ставить сразу 1-нано?Хотелось бы поступить в ваш вуз в 1-ю волну.Спасибо.;RANG
Здравствуйте!Я подала документы на биотехнические системы и технологии(1 приоритет),у меня 260 баллов,я хочу учится в вашем вузе ,но еще не успела подвезти оригинал.Что означают прогнозные списки?Как я понимаю,зелёным выделены дети,которые на сегодняшний день проходят в первой волне,это так?Если я хочу быть зачислена в первой волне ,до какого числа я должна привезти оригинал??Подскажите ,пожалуйста.;RANG
Здравствуйте!Объясните пожалуйста формирование зеленых списков. В приемной комиссии говорили, что, как только вы станете зелеными, бегите, несите оригинал. А вы формируете зеленую зону только из тех абитуриентов, которые предоставили оригинал аттестата, причем даже с низкими баллами. Как понять тем, у кого лежат копии документов, проходят они в ваш вуз или нет?;RANG
Подскажите, пожалуйста, когда снова будут открыты списки?;RANG
Правильно ли я понимаю, что в зелёную зону попадают абитуриенты не только с поданным оригиналом, но и с согласием на зачисление. Другими словами, если абитуриент видит своё ФИО в зелёной зоне 1 августа в 18.00, то он будет зачислен приказом 3 августа и никаких дополнительных согласий ему подписывать не нужно?;RANG
Какого формата необходимы фотографии, для составления личного дела?;DOC
Необходимо сначала отправить электронную анкету, а потом отвезти в комиссию необходимые оригиналы (аттестат, мед. справку, фотографии и т.д.)?;DOC
Добрый день. Необходимо ли отправлять по почте заявление о приеме или достаточно заявления в электронном виде?;DOC
Я узнал, что в этом году не выдаются сертификаты ЕГЭ. Нужны ли какие-либо данные, кроме паспортных, для заверения результатов  ЕГЭ(т.к. для просмотра результатов на официальном портале используется номер паспорта)?;DOC
Здравствуйте. Подали документы в МИЭТ, аттестат высылали экспресс-почтой. Прежде чем высылать аттестат, позвонили в приемную комиссию, беседовали с девушкой, спрашивали: аттестат посылать с корочкой или без. Нам ответили, что без корочки, мы выслали. Теперь 19.07.2014г нам позвонили и сказали, что нужно отправить еще и корочку. Но она же без всяких печатей, надписей и т.д. Вопрос зачем она нужна, если даже при поступлении в 10 класс, у нас забирали только свидетельство об окончании 9-го класса, а корочку отдавали. Что теперь нам делать, еще раз отправлять экспресс почтой корочку аттестата? Наш номер личного дела: Т-388;DOC
Здравствуйте! Прием оригиналов по правилам - до 4-го августа включительно. Но 3 августа- воскресенье. В связи с этим будет ли добавлен еще один день для сдачи оригиналов?;DOC
Здравствуйте! Подскажите, пожалуйста, нужна ли справка формы 086-у на факультет лингвистики?;DOC
Я отправила письмо с документами с объявленной ценностью. И только потом узнала, что вам придет лишь уведомление о письме. Скажите, вы принимаете такие письма или в ближайшее время лучше переслать копии заказным письмом?;DOC
Здравствуйте. Заполнил электронную форму 2 дня назад, но в списках подавших документы не появился, что я сделал не так или чего я не сделал? ;RANG
Завтра собираюсь подать оригиналы в МИЭТ,нужно ли иметь с собой фотографии или можно принести их позже(и когда)?;DOC
Здравствуйте, подскажите, пожалуйста, на сайте не нашла, на факультет колледж уже поздно подавать документы? Нигде сроки про колледж не указаны.;DOC
не подскажите стоимость колледжа?;ENTER
Здравствуйте, подскажите, пожалуйста, если я во второю волну не попаду, могу я тогда 7 августа подать заявление на очное платное обучение? На нужное мне направление? И как тогда весь документооборот будет происходить (оригинал у вас)? И еще вопрос, очное обучение на платной основе даёт отсрочку от армии?;ORG
Здравствуйте, есть ли возможность подать документы в этот ВУЗ он-лайн ?;DOC
Здравствуйте хотел бы у вас узнать учитывается ли при поступлении на бюджетное место направление от предприятий и какой оно должно быть формы?;PRIV
Здравствуйте. Скажите, а можно документы для поступления послать по электронной почте?;DOC
Здравствуйте,а когда будет известно количество бюджетных мест?;ENTER
Здравствуйте, как нам поступить в нашей ситуации: ЕГЭ сдаём во второй волне (поступаем после техникума) с 8.07 по 15.07, 19.07 резервный день для не сдавших по уважительной причине, на получение свидетельства ЕГЭ 5-7 дней, а приём документов для поступающих по результатам ЕГЭ до 25.07, получается, что мы не успеваем поступить(мы иногородние. Как нам поступить?;ORG
Говорили,что будет создана онлайн-таблица показывающая проходящих по баллам и не прошедших...когда она появится?можно ли будет наблюдать за ней не подав свои документы?;RANG
Почему не ежедневно будет появляться ранжированная онлайн-таблица подавших заявление, чтобы была возможность сориентироваться?;RANG
По какому принципу формируется перечень фамилий в таблице? Неужели по количеству баллов? ;RANG
Подскажите, пожалуйста, до какой даты нужно предоставить оригиналы документов , до 4 августа? Смогу ли я до этого срока уже знать, прошла на бюджет или нет?;DOC
А вы же со всеми еще будете связываться, чтобы узнать поступают ли они к вам или нет и при отказе вы их убираете из списка? Просто те кто не находятся в списке рекомендованных должны знать какие их шансы поступления, чтобы успеть подать документы. 5 августа это получается как вторая волна? с 4по 5 августа кому то сложно успеть добраться чтобы подать документы;RANG
На факультете ПрИТ у двоих ребят по 220 баллов,а у троих по 219...Вопрос:они расположились в таблице в соответствии с оценкой по математике или по алфавиту?;RANG
А когда они будут расставлены по ранжиру?Люди волнуются,вдруг кто-то из них окажется 26,надо сразу,так сказать, подготовиться,нрод молодой,сердечки слабые ;RANG
Доброго времени суток. У меня такой вопрос: Когда будут названы рекомендованные к зачислению, 27 или 30? И чем отличаются эти дни?;RANG
Дмитрий,порядок номеров у людей,набравших одинаковое колличество баллов на факультете ПрИТ опять поменялся.Теперь они стоят в соответствии с баллами по математике или ...?;RANG
Здравствуйте! Скажите пожалуйста, как получилось, что один и тот же человек, Цедрик Артём Сергеевич, объявлен в таблице подавших оригиналы документов (таблица № 2) и на факультет Дизайн и на Иняз???;RANG
Прошу прощения, но не могли бы Вы подсказать. Как такое возможно, что в онлайн списке подавших Заявление-2 указана неверная информация о количестве набранных в сумме баллов? На данный момент за общий суммарный балл там принят балл первого экзамена( причем прошу обратить внимание, что не у всех!!! - что тоже вводит в недоумение).;RANG
Во сколько выложат ранжированные списки всех подавших документы?;RANG
Спасибо за списки, но почему не выложили список конкурса на общежитие? Оно ведь для многих немаловажно!;HOST
Добрый день!Скажите, пожалуйста, списки рекомендованных, которые будут выставлены 30 июля- это будут первые 250 человек (кол-во бюджетных мест на МП и ТК ), 180 на ЭКТ и т.д? то есть ребенко со 222 баллами окажется вне этого списка?;RANG
Доброго времени суток. Возможно было бы у Вас узнать, будет ли размещён список подавших оригиналы документов и Заявление-2 на платное вечернее техническое ? ( на сайте размещён только бюджет ).;RANG
Скажите, а свидетельства ЕГЭ МИЭТ уже проверял в  федеральной базе?;DOC
Скажите, пожалуйста, есть-ли возможность подачи документов для поступления в электронном виде? Спасибо.;DOC
Можно ли подать документы по почте и в электронном виде одновременно? Ну, чтоб наверняка.;DOC
Здравствуйте! В форме заявления в электронном виде есть возможность указать только факультет, но, согласно правилам приёма, абитуриент может указать в конкретном вузе 3 специальности. Как же их указать в заявлении электронном виде?;DOC
Где найти образец анкеты?;DOC
Скажите при подаче документов почтой заказным письмом нужно отравлять регистрационную форму?;DOC
Здравствуйте, есть ли увас предпочтения в каком ввиде вы хотите видеть  электронное отправление? Например формат документов, максимальный размер и т.п.;DOC
По какому адресу отправлять заказное письмо?;DOC
Здравствуйте,сыграет ли какую-любо роль грамота за 1 место в регионе в олимпиаде Кенгуру?;PRIV
в разделе Вы подали копии документов и Заявление в МИЭТ – что делать дальше? сказано что нужно подать оригиналы до 4  августа. Я подавал копии , теперь везти оригиналы чтоли ??????;ORG
Здравствуйте! Я отправил документы по почте 12 дней назад, в списках меня нет. Я Мартыхин Владислав Валерьевич. Дошли ли мои документы?;DOC
Здравствуйте. Я правильно понял, что 27 будет ранжированный список всех абитуриентов с баллами, а 30 объявят рекомендованных?;PRIV
А подавать оригиналы документов можно будет уже с 27 июля?;DOC
Дмитрий Коваленко, вы не сказали, заезжать в МИЭТ надо будет за распиской, или подленники можно будет подать и без нее??;ORG
Здравствуйте. А обязательно именно человеку, которого документы, подавать эти самые документы? Нельзя ли оригиналы передать через других людей? Просто нет возможности приехать до 4, буду только 5.;DOC
Здравствуйте. Если я планирую отправить документы по электронной почте,нужно ли распечатывать заявление1 и сканировать его? Или просто заполнить на сайте,а потом отправить необходимые документы?;DOC
Добрый день!Скажите пожалуйста.Какие документы необходимо готовить для поступления на первый курс? И когда нужно сдавать фотографии после зачисления или при подаче документов в ВУЗ?;DOC
Добрый день!У меня есть огромное количество грамот (от спортивных до творческих).В случае необходимости их надо представлять?И сыграет это какую-нибудь роль при поступлении?;PRIV
Какие документы необходимо подать в приемную комиссию для поступления?;DOC
Здравствуйте, нужно ли вместе с остальными документами посылать сертификат о сдачи егэ?;DOC
Здравствуйте. Есть ли необходимость заверять какие-либо документы(для поступления) у нотариуса?;DOC
На какой адрес эл.почты отправить отсканированные док-ты, необходимые для поступления (есть все, кроме сертификата ЕГЭ)?;DOC
Здравствуйте. Я зеленоградец и еще до окончания всех экзаменов, писал заявление на поступление на факультет МП по целевому набору. Сейчас, после сдачи ЕГЭ, я хотел бы поступать на общих основаниях на тот же факультет МП, а от поступления по целевому отказаться. Это возможно?;ORG
Здравствуйте. Я заполняю заявление,но у меня нет сертификата. Я ввожу данные ЕГЭ и потом когда просматриваю это заявление информация о моих баллах отсутствует. Как быть?;DOC
Здравствуйте! а можно сначала заполнить заявление без номера сертификата Егэ, а потом приехать с распечатанным и подать документы?;DOC
Здравствуйте, можно ли подать документы по электронной почте и где будут размещены списки рекомендованных к поступлению?;DOC
как долго приёмная комиссия рассматривает заявку, посланную по эл. почте?;DOC
Здравствуйте! На какой адрес присылать копии документов и каких,спасибо! Регистрационная форма, что на вашем сайте, зачем она нужна, если я не смогу приехать к вам в Москву и отдать её вам лично в руки?;DOC
Скажите, специалитет у вас присутствует или только магистратура с бакалавриатом?;ENTER
Я правильно поняла, что копии документов, в том числе и подписанного заявления со страницы регистрации, можно отправить по электронной почте? Хотелось бы получить точный ответ.;DOC
Здравствуйте. Хотел бы узнать, по каким дням работает приёмная комисия, и могу ли я сразу привести оригиналы всех необходимых документов для поступления? Так как конкретно определился с выбором ВУЗА.  Сиграет ли роль, то что я закончил колледж по профессии (ремонт и обслуживание электронного оборудования).;ENTER
Здравствуйте, никак не могу отправить заявление все заполняю кроме сертификата егэ, но не отправляется. Выдает ошибку заполните все поля, которые выделены красным светом, но ничего не выделяет Что делать?;DOC
Вопрос по заполнению регистрационной формы. Заношу баллы по ЕГЭ, но номера сертификатора пока нет. При формировании печатной формы заявления баллы по ЕГЭ не появляются. Что делать?;DOC
Та же ситуация, что и у Гостя. Не появляются баллы по ЕГЭ... пожно их собственноручно внести чёрной пастой в бланк и расписаться на нём, после отправить вам отсканированный лист? Как дело обстоит с фотографиями и копиями аттестата и паспорта - куда можно выслать копии? если они нужны конечно...;DOC
Здравствуйте, когда будет объявлен список рекомендованных к зачислению?;RANG
Здравствуйте,можно ли отправить документы по электронной почте?;DOC
можно ли привести документы за родственника в приемную комиссию ?;DOC
Здравствуйте, могу ли я сейчас вместе с оригиналом аттестата отправить по почте вам заявление-2?;DOC
Здравствуйте, заполнила регистрационную форму, но распечатать её дома возможности нет, а можно ли её как-то сохранить? или можно прислать документы вообще без неё?;DOC
Здравствуйте.какие документы нужно подавать для поступления?;DOC
Анна Манохина,так списки с указанием баллов появятся на этой неделе?;RANG
Уточните, для чего необходимо Заявление-2? Его обязательно присылать в адрес Приемной комиссии?;DOC
Здравствуйте,я подал оригинал диплома и сертификата,а в списке подавших заявление №2 у меня стоит 0 баллов,почему? Мой № дела Г- 1538.;RANG
Здравствуйте! Я успешно подал заявление в ваш вуз, в списках я есть. Хотелось бы задать вопрос-когда будет известно прошел ли я по баллам или нет? Когда появится гарантия того, что я могу спокойно везти оригиналы документов в ваш вуз?;RANG
Здравствуйте,если я посылаю заявление по электронной почте, нужно ли мне являться лично?;DOC
4 августа заканчивается прием документов, а во сколько по времени заканчивается эта процедура?;ENTER
